Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Booking,,Booking,,2023-04-28 14:03:25,2023-04-28 14:04:06,40.174s,PASSED
,,,,,,,
Test Cases/BOOKING/CreateBooking,,Creates a new booking in the API,BOOKING,2023-04-28 14:03:26,2023-04-28 14:03:34,8.325s,PASSED
"sendRequest(findTestObject(""BOOKING/CreateBooking""))",,,,2023-04-28 14:03:27,2023-04-28 14:03:34,7.522s,PASSED
,,,,,,,
Test Cases/BOOKING/GetBooking,,Returns a specific booking based upon the booking id provided,BOOKING,2023-04-28 14:03:34,2023-04-28 14:03:37,2.454s,PASSED
"sendRequest(findTestObject(""BOOKING/GetBooking""))",,,,2023-04-28 14:03:35,2023-04-28 14:03:37,1.819s,PASSED
,,,,,,,
Test Cases/BOOKING/GetBookingIds,,Returns the ids of all the bookings that exist within the API. Can take optional query strings to search and return a subset of booking ids.,BOOKING,2023-04-28 14:03:37,2023-04-28 14:03:57,19.704s,PASSED
"sendRequest(findTestObject(""BOOKING/GetBookingIds""))",,,,2023-04-28 14:03:38,2023-04-28 14:03:57,18.192s,PASSED
,,,,,,,
Test Cases/BOOKING/PartialUpdateBooking,,Updates a current booking with a partial payload,BOOKING,2023-04-28 14:03:57,2023-04-28 14:03:59,2.892s,PASSED
"sendRequest(findTestObject(""BOOKING/PartialUpdateBooking""))",,,,2023-04-28 14:03:57,2023-04-28 14:03:59,1.974s,PASSED
,,,,,,,
Test Cases/BOOKING/UpdateBooking,,Updates a current booking,BOOKING,2023-04-28 14:03:59,2023-04-28 14:04:03,3.660s,PASSED
"sendRequest(findTestObject(""BOOKING/UpdateBooking""))",,,,2023-04-28 14:04:00,2023-04-28 14:04:03,3.075s,PASSED
,,,,,,,
Test Cases/BOOKING/DeleteBooking,,Returns the ids of all the bookings that exist within the API. Can take optional query strings to search and return a subset of booking ids.,BOOKING,2023-04-28 14:04:03,2023-04-28 14:04:06,2.399s,PASSED
"sendRequest(findTestObject(""BOOKING/DeleteBooking""))",,,,2023-04-28 14:04:04,2023-04-28 14:04:06,1.866s,PASSED
